,source_id,Kids
1912,285094,1.0
1917,278502,1.0
1919,274372,2.0
1920,189420,2.0
1921,265343,1.0
1923,287464,1.0
1925,264706,1.0
1928,289734,1.0
1932,274638,1.0
1936,283017,1.0
1937,250248,1.0
1938,290475,1.0
1939,70526,1.0
1940,42900,1.0
1943,262633,1.0
1946,266000,2.0
1947,248121,1.0
1948,272693,1.0
1950,188175,1.0
1951,68635,1.0
1956,273845,1.0
1959,274029,1.0
1961,262298,1.0
1965,260290,1.0
1967,268171,1.0
1969,63275,2.0
1970,257305,1.0
1973,52758,1.0
1974,263931,1.0
1977,269305,1.0
1978,283042,1.0
1980,273615,2.0
1981,52868,1.0
1984,254186,1.0
1985,64332,1.0
1988,270012,1.0
1990,274784,1.0
1992,253551,1.0
1994,269347,1.0
1996,284017,1.0
1998,186471,1.0
2002,354621,1.0
2003,291385,1.0
2004,262922,1.0
2005,263966,1.0
2007,53828,2.0
2013,273036,1.0
2014,283371,1.0
2016,268435,1.0
2017,58349,1.0
2019,65304,2.0
2021,271981,1.0
2022,262921,1.0
2026,54094,1.0
2028,268136,1.0
2030,273163,1.0
2032,277710,1.0
2033,39919,2.0
2036,259121,2.0
2037,263064,1.0
2038,277186,1.0
2039,248017,2.0
2041,272146,1.0
2042,272821,2.0
2043,286349,1.0
2044,291596,2.0
2045,272119,1.0
2046,188174,1.0
2047,49353,1.0
2048,265887,1.0
2049,53499,1.0
2050,267655,3.0
2051,289427,1.0
2052,289991,1.0
2053,288332,1.0
2054,185674,1.0
2056,279284,1.0
2059,262849,2.0
2060,258112,1.0
2065,262420,1.0
2066,252660,1.0
2067,252630,1.0
2068,270600,2.0
2073,71143,1.0
2074,56375,1.0
2075,253571,1.0
2076,267953,1.0
2077,269546,1.0
2079,268971,1.0
2082,256420,1.0
2085,40331,1.0
2087,291747,1.0
2094,45189,1.0
2095,258112,1.0
2096,266018,1.0
2098,288642,1.0
2099,58508,1.0
2100,60025,2.0
2101,70951,2.0
2104,64001,1.0
2107,288356,1.0
2108,49795,1.0
2109,261998,1.0
2114,270193,1.0
2115,289734,1.0
2119,70522,2.0
2121,252484,1.0
2124,55861,1.0
2125,278950,1.0
2127,251008,1.0
2130,276147,1.0
2131,273155,1.0
2132,262686,1.0
2133,255297,1.0
2136,272608,3.0
2137,40405,1.0
2138,276368,1.0
2139,53491,1.0
2140,264425,1.0
2141,274696,1.0
2142,279019,2.0
2144,252359,1.0
2148,260693,1.0
2150,259110,1.0
2152,264609,1.0
2153,288542,1.0
2154,266284,1.0
2156,187363,2.0
2158,27333,1.0
2160,252376,1.0
2163,294207,1.0
2164,259426,2.0
2166,272048,1.0
2168,267838,1.0
2171,256070,2.0
2173,265291,1.0
2174,280928,1.0
2175,289416,1.0
2177,261927,1.0
2178,288977,1.0
2180,261538,1.0
2181,6604,1.0
2183,268054,1.0
2186,288734,1.0
2187,68512,1.0
2188,69434,1.0
2189,268884,1.0
2192,282870,2.0
2193,289428,1.0
2197,261501,1.0
2198,263169,1.0
2200,269305,1.0
2201,268943,2.0
2202,287582,1.0
2203,255439,1.0
2205,270099,1.0
2207,278325,1.0
2208,289512,1.0
2210,255175,1.0
2213,287610,1.0
2221,273279,2.0
2223,262747,1.0
2228,273169,1.0
2229,277979,1.0
2231,270073,1.0
2232,61327,1.0
2233,266003,1.0
2235,282582,1.0
2237,272897,2.0
2238,271949,1.0
2239,58692,1.0
2240,279041,1.0
2241,282743,1.0
2243,260339,1.0
2244,269738,1.0
2245,280486,1.0
2246,280809,1.0
2247,267781,1.0
2248,288201,1.0
2253,291847,1.0
2254,62256,1.0
2258,291405,2.0
2260,268815,1.0
2263,273845,1.0
2265,251825,1.0
2272,271747,1.0
2278,267998,1.0
2279,354803,1.0
2280,55774,1.0
2281,284098,1.0
2283,261409,1.0
2284,50684,1.0
2287,278942,1.0
2288,60573,1.0
2289,282064,1.0
2290,278942,1.0
2293,280472,1.0
2295,291807,1.0
2299,54094,1.0
2300,55815,1.0
2302,67138,1.0
2303,270424,1.0
2304,55869,1.0
2306,65703,1.0
2308,298904,1.0
2309,255209,1.0
2311,292046,2.0
2312,45990,2.0
2313,257132,1.0
2316,268969,1.0
2319,270093,1.0
2321,269630,1.0
2322,250207,1.0
2326,48755,1.0
2328,69781,1.0
2330,270600,2.0
2331,186135,1.0
2332,297690,1.0
2335,276620,1.0
2336,262465,1.0
2340,275524,1.0
2343,62366,1.0
2344,264392,1.0
2347,186471,1.0
2349,57052,1.0
2350,250914,1.0
2351,68702,1.0
2353,53321,1.0
2355,265494,1.0
2356,259110,1.0
2357,268997,2.0
2361,262285,1.0
2363,255105,1.0
2364,260368,1.0
2365,277075,1.0
2366,268136,1.0
2367,61398,1.0
2368,54930,1.0
2369,269876,1.0
2370,284017,1.0
2371,59206,1.0
2374,257805,1.0
2375,267661,2.0
2377,253550,1.0
2379,287261,1.0
2384,268171,1.0
2388,268088,2.0
2389,255142,1.0
2391,291060,1.0
2392,280307,1.0
2394,280439,1.0
2396,188751,1.0
2397,289427,1.0
2400,68834,1.0
2404,276816,1.0
2407,291847,1.0
2412,288070,1.0
2415,69969,1.0
2417,265290,1.0
2418,272693,1.0
2419,268884,1.0
2421,274032,2.0
2423,265072,1.0
2425,66247,1.0
2430,251910,1.0
2432,45228,1.0
2435,253786,1.0
2437,265985,1.0
2438,293930,1.0
2442,47329,1.0
2443,261341,2.0
2444,277891,2.0
2446,271851,1.0
2449,269658,1.0
2451,268034,1.0
2452,269690,1.0
2454,276150,1.0
2456,55882,1.0
2457,280571,1.0
2458,290783,1.0
2459,275437,1.0
2462,268971,1.0
2463,264663,1.0
2466,258053,2.0
2467,282603,1.0
2472,255108,1.0
2473,251968,2.0
2474,253942,1.0
2475,249877,2.0
2476,249806,2.0
2477,270588,1.0
2478,276600,1.0
2479,274250,2.0
2481,38964,3.0
2482,286785,1.0
2483,250285,1.0
2484,256710,2.0
2486,268163,1.0
2488,276134,1.0
2489,69969,1.0
2490,72645,1.0
2492,257107,2.0
2493,266007,2.0
2494,266009,1.0
2495,269439,1.0
2496,292626,2.0
2497,292414,1.0
2498,253582,1.0
2499,45283,1.0
